,cu_local_no,cu_established_no,cu_alcohol_no,cu_bakery_no,cu_dairy_no,cu_flower_no,cu_fuel_no,cu_garden_no,cu_grocery_no,cu_meat_no,cu_misc_no,cu_natural_prod_no,cu_packaged_no,cu_pharmaceutical_no,cu_prepared_no,cu_restaurant_no,cu_salad_no,cu_seafood_no,cu_skin_no,cu_travel_no,cu_vegetable_no,customer_id,no_of_tran,no_of_days,qty,max_sp,min_sp,avg_sp,max_od,min_od,avg_od,max_cd,min_cd,avg_cd
23,192,485,1,8,1,0,5,0,544,10,3,17,25,46,7,0,0,7,3,0,0,988,677,65,31181,1335.75,3.56,78.81118168,0,-178.1,-10.03115214,0,-19.59,-0.055243722
24,297,710,0,5,2,0,25,0,871,18,2,29,33,17,1,0,0,0,4,0,0,891,1007,147,437644,2671.5,3.21,117.3167825,0,-170.98,-24.39841112,0,-35.62,-0.557100298
25,250,796,2,3,1,0,0,0,725,35,0,7,202,54,3,0,0,10,4,0,0,676,1046,42,1474,782.93,8.9,129.697543,0,-249.34,-20.1010325,0,0,0
26,266,833,0,1,0,0,0,0,875,36,0,26,117,27,13,0,0,2,0,2,0,469,1099,70,1556,960.67,2.49,110.1955778,0,-427.44,-21.61074613,0,-89.05,-0.081028207
27,200,423,1,5,6,0,1,0,440,20,0,39,61,45,1,0,0,1,1,2,0,573,623,53,4817,1068.24,8.9,93.11704655,0,-266.08,-14.68849117,0,-35.62,-0.05717496
28,274,348,0,3,0,0,0,0,472,20,2,20,43,62,0,0,0,0,0,0,0,1027,622,70,876,890.86,1.42,84.7407717,0,-187.72,-15.44863344,0,0,0
29,530,1014,0,21,1,0,0,0,1069,45,0,32,93,208,68,0,0,5,2,0,0,769,1544,221,1754,1187.21,0.36,90.31006477,0,-500.82,-15.39281088,0,-35.62,-0.146496114
30,755,1175,0,71,1,5,79,6,1141,60,4,72,72,289,22,1,2,99,6,0,0,781,1930,324,696874,4979.68,7.12,159.4693834,0,-2137.2,-19.11520207,0,-1992.23,-3.518974093
31,173,612,0,9,2,0,10,0,638,4,0,35,11,67,4,0,0,4,1,0,0,1419,785,72,40683,640.8,3.56,84.12782166,0,-106.86,-11.35667516,0,-19.59,-0.024955414
32,94,163,0,5,0,1,0,0,165,13,0,28,26,15,0,0,0,3,0,1,0,937,257,61,310,391.46,12.47,87.82284047,0,-177.39,-15.68797665,0,-89.05,-0.346498054
33,117,379,0,3,2,0,7,0,358,1,0,8,19,88,3,0,0,1,6,0,0,1063,496,63,50612,982.4,10.33,104.5663306,0,-313.46,-18.91231855,0,-71.24,-1.449879032
34,305,745,0,8,1,0,7,0,840,12,2,15,70,80,1,0,0,12,2,0,0,112,1050,69,60151,2492.69,8.9,84.96710476,0,-445.25,-19.39691429,0,-35.62,-0.273085714
35,108,1020,0,0,89,0,2,0,881,0,0,25,0,102,10,0,0,5,14,0,0,63,1128,100,23158,866.28,17.81,99.16509752,0,-222.62,-17.48832447,0,-120.75,-2.359796099
36,79,408,2,10,11,2,0,0,379,0,1,9,5,60,5,0,0,0,3,0,0,1253,487,84,596,925.41,10.69,140.9315195,0,-256.46,-18.61874743,0,-12.47,-0.025605749
37,228,801,3,19,1,0,41,0,687,10,0,11,50,193,11,0,0,1,2,0,0,1291,1029,177,250002,3263.15,2.14,142.0083285,0,-213.01,-15.37323615,0,-89.05,-0.204237123
38,81,1479,0,0,7,1,41,0,999,20,2,34,52,379,11,0,0,0,14,0,0,541,1560,344,525570,1567.64,21.02,221.7603397,0,-245.78,-7.088230769,0,-53.43,-0.061647436
39,77,466,0,6,12,4,0,0,363,4,0,55,33,52,13,0,0,1,0,0,0,92,543,51,831,996.65,12.11,127.9648987,0,-780.08,-28.49274401,0,-89.05,-0.872467772
40,132,341,0,6,12,0,1,0,330,4,0,34,6,67,10,0,0,3,0,0,0,888,473,55,10911,1566.57,8.9,128.3070825,0,-213.72,-16.19084567,0,-35.62,-0.128012685
41,453,542,0,8,0,0,22,0,801,16,0,25,76,39,5,0,0,2,1,0,0,400,995,101,215466,1531.66,7.12,108.1237085,0,-493.34,-21.52950754,0,-89.05,-0.189738693
42,703,1510,2,15,89,4,66,0,1512,27,8,73,87,319,2,0,0,7,2,0,0,957,2213,172,1150004,2671.5,3.92,167.7020515,0,-748.02,-15.74294623,0,-71.24,-0.080478988
43,848,718,0,33,1,0,0,0,1194,49,3,7,134,88,47,0,2,4,3,1,0,241,1566,326,1710,533.94,5.34,67.53097063,0,-142.12,-8.207835249,0,0,0
44,517,1043,0,9,19,0,3,2,1240,34,0,33,78,120,5,0,0,12,3,2,0,1434,1560,180,13181,712.04,5.34,65.36467949,0,-284.96,-15.76295513,0,-89.05,-0.087903846
45,152,422,0,18,0,1,1,0,434,16,0,5,52,45,2,0,0,0,0,0,0,233,574,69,11798,894.77,12.11,112.9370906,0,-236.16,-20.20263066,0,-71.24,-0.248222997
46,204,1073,0,16,46,0,6,0,688,44,9,215,41,107,88,0,0,5,12,0,0,789,1277,112,192187,1594.71,9.62,144.6146515,0,-312.03,-12.03656226,0,-117.19,-0.161221613
47,380,592,2,7,1,0,17,0,754,27,0,35,79,42,2,0,0,4,0,2,0,197,972,79,192024,1531.66,3.56,93.35417695,0,-390.04,-30.32176955,0,-213.72,-3.267705761
48,173,441,0,15,0,0,0,0,452,11,1,7,26,102,0,0,0,0,0,0,0,43,614,120,799,569.56,7.12,90.38934853,0,-461.99,-12.47726384,0,-19.59,-0.060912052
49,160,919,0,5,1,0,0,0,859,9,1,27,84,80,11,0,0,2,0,0,0,1012,1079,95,1739,935.02,17.81,127.954912,0,-284.96,-16.29339203,0,-89.05,-0.188174235
50,113,414,0,15,25,1,0,0,297,15,3,42,49,69,6,2,0,1,2,0,0,227,527,80,697,2849.6,8.9,122.9206452,0,-246.85,-13.58747628,0,-39.18,-0.135180266
51,425,1109,0,9,23,0,0,0,1123,38,1,15,86,213,7,0,0,19,0,0,0,56,1534,101,2210,801.09,7.12,94.86498696,0,-374.37,-18.99335724,0,-88.69,-0.057816167
52,87,381,0,9,0,0,7,0,332,5,2,16,3,93,0,0,0,0,1,0,0,1333,468,82,93182,1869.69,5.34,139.6826282,0,-1280.18,-86.14027778,0,-534.3,-13.6290812
53,92,208,0,2,0,0,3,0,236,6,3,5,14,29,1,0,0,0,1,0,0,203,300,62,16518,729.85,17.81,104.1782333,0,-148.89,-12.58923333,0,-71.24,-0.415566667
54,264,702,0,7,3,1,12,0,698,5,2,9,51,157,3,0,0,9,9,0,0,800,966,126,63841,1069.31,8.9,92.49989648,0,-708.84,-15.51534161,0,-26.71,-0.06820911
55,308,1066,0,68,9,0,0,0,1084,33,2,35,52,77,5,0,0,9,0,0,0,189,1374,187,15973,890.86,7.12,86.81779476,0,-355.84,-23.44767831,0,-89.05,-0.961790393
56,153,687,0,18,1,0,0,0,652,13,1,22,78,24,18,0,0,12,1,0,0,434,840,61,1135,712.04,7.12,87.48782143,0,-326.28,-20.94859524,0,-89.05,-0.148416667
57,252,281,0,3,0,0,0,0,453,7,0,13,21,33,2,0,0,1,0,0,0,1234,533,155,630,537.15,12.11,75.62433396,0,-234.02,-19.49643527,0,-89.05,-0.225891182
58,147,214,0,7,0,2,0,0,270,11,1,8,19,39,0,0,0,4,0,0,0,1042,361,44,578,1276.62,10.69,94.96476454,0,-320.58,-15.57301939,0,-106.86,-0.641357341
59,249,391,1,3,3,1,1,0,433,12,3,13,27,129,4,0,0,0,10,0,0,279,640,144,40269,1531.66,4.63,117.6695156,0,-390.04,-11.696625,0,-106.86,-0.361765625
60,308,592,2,11,1,3,13,0,636,1,0,11,35,179,3,0,0,1,3,0,1,1131,900,101,170491,1532.02,7.84,104.2252444,0,-148.89,-13.88567778,0,-178.1,-1.531244444
61,199,353,0,9,0,0,4,0,457,2,0,4,25,49,2,0,0,0,0,0,0,609,552,73,37079,1232.45,10.69,93.8676087,0,-372.23,-14.00407609,0,-89.05,-0.161322464
62,354,804,0,6,33,2,31,0,854,9,0,31,62,93,13,0,0,10,14,0,0,699,1158,77,202650,1425.16,7.12,94.47177029,0,-391.46,-15.2947582,0,-35.62,-0.030759931
63,127,427,0,1,1,0,0,0,467,5,0,3,26,51,0,0,0,0,0,0,0,98,554,89,747,356.2,8.9,89.99859206,0,-169.91,-17.89658845,0,-60.2,-0.10866426
64,44,478,2,52,0,1,1,1,391,1,0,5,1,64,2,0,1,0,0,0,0,921,522,181,21480,2137.2,8.9,70.51241379,0,-427.44,-10.29708812,0,-35.62,-0.068237548
65,397,1329,7,30,50,1,4,0,1124,24,4,124,86,226,13,0,0,22,7,2,2,141,1726,146,95832,1592.21,6.06,128.4792236,0,-468.76,-14.19024334,0,-56.28,-0.048082271
66,338,772,7,57,7,2,0,0,776,20,3,35,59,116,15,1,2,7,3,0,0,1159,1110,226,10582,1068.24,3.56,87.1746036,0,-390.04,-11.60399099,0,-106.86,-1.934387387
67,117,175,0,15,18,0,2,0,176,5,0,24,2,49,1,0,0,0,0,0,0,892,292,113,13867,1460.06,8.9,116.4219863,0,-206.6,-13.75743151,0,-26.71,-0.091472603
68,250,577,0,19,4,2,3,2,579,20,0,25,85,64,9,0,0,15,0,0,0,680,827,58,29641,921.49,10.69,117.2252963,0,-312.03,-24.04425635,0,0,0
69,407,755,0,7,0,2,0,0,921,23,0,59,44,94,6,0,0,3,3,0,0,1579,1162,149,1756,1045.09,13.54,125.9542943,0,-463.06,-22.93456971,0,-89.05,-0.291213425
70,150,493,0,13,2,2,2,1,506,3,2,12,24,71,3,0,0,0,1,1,0,715,643,50,18294,997.36,11.75,82.35449456,0,-498.32,-22.15685848,0,-35.62,-0.274199067
71,260,1119,0,3,0,0,29,0,1145,37,0,34,77,53,1,0,0,0,0,0,0,1386,1379,117,333249,1371.37,7.12,95.83387962,0,-161.36,-15.59004351,0,-106.86,-0.446852792
72,375,710,0,9,31,0,12,0,700,18,2,18,35,246,3,0,0,1,10,0,0,1372,1085,125,111021,1444.39,6.06,100.07153,0,-341.6,-11.40363134,0,-35.62,-0.090276498
73,173,392,0,1,0,0,1,0,451,34,0,1,52,22,3,0,0,0,0,0,0,1077,565,215,3173,712.04,12.11,84.34175221,0,-89.41,-8.196,0,0,0
74,232,740,0,9,3,1,27,0,687,26,3,36,53,123,3,0,0,0,1,0,0,745,972,120,319990,3561.64,10.69,128.7438992,0,-712.4,-18.50110082,0,-35.62,-0.065967078
75,395,1045,4,1,12,0,27,0,1148,6,4,29,61,143,2,0,0,1,2,0,0,319,1440,70,400971,1887.86,11.75,132.5152153,0,-562.8,-25.24075,0,-213.01,-1.227875
76,205,842,0,5,15,2,41,1,767,9,1,38,71,82,5,0,1,4,4,1,0,1236,1047,112,421361,1460.78,12.11,138.0496084,0,-503.67,-17.88126074,0,-19.59,-0.078252149
77,156,372,3,11,2,1,9,0,381,2,1,18,12,75,10,0,0,1,2,0,0,359,528,44,113989,1282.32,11.75,111.8259848,0,-297.78,-18.37125,0,-102.94,-0.397348485
78,118,200,0,19,18,0,4,0,222,0,0,12,17,21,3,0,0,1,1,0,0,1057,318,105,32816,1104.22,10.69,98.28377358,0,-708.84,-23.56069182,0,-35.62,-0.112012579
79,202,679,0,12,195,2,18,0,495,0,0,68,4,81,6,0,0,0,0,0,0,743,881,144,236462,1384.19,3.56,125.7363791,0,-599.48,-16.93271283,0,-21.37,-0.044472191
80,434,1341,2,4,7,4,42,1,1257,36,27,61,82,206,4,0,1,28,12,1,0,864,1775,135,909877,2304.61,3.56,140.3714085,0,-1068.24,-22.6288169,0,-142.84,-2.099239437
81,220,936,0,18,44,2,0,0,881,8,1,68,60,70,0,0,0,2,2,0,0,525,1156,100,1312,811.07,5.34,92.72070934,0,-390.04,-23.73307093,0,-89.05,-0.210147059
82,167,293,0,0,15,2,21,1,281,19,0,19,64,32,1,0,0,5,0,0,0,113,460,102,240433,1541.28,9.26,125.019587,0,-402.86,-31.76678261,0,-102.94,-1.021326087
83,245,891,0,6,0,1,29,0,706,7,0,30,10,326,7,0,0,4,10,0,0,257,1136,140,306236,1287.66,11.75,124.9698768,0,-295.65,-15.39676937,0,-89.05,-0.794850352
84,292,920,0,15,9,2,13,0,865,21,1,53,89,135,4,0,0,4,1,0,0,1186,1212,95,202701,2113.69,3.56,134.8138201,0,-284.96,-17.63504125,0,-26.71,-0.022037954
85,109,392,0,3,8,1,0,0,288,17,0,10,41,133,0,0,0,0,0,0,0,686,501,42,793,1338.24,13.89,145.8018762,0,-320.58,-19.10193613,0,-26.71,-0.053313373
86,640,705,1,8,2,0,13,0,940,59,0,87,102,113,6,0,0,12,2,0,0,1298,1345,146,53471,950.7,6.06,92.50857249,0,-710.62,-23.55350186,0,-78.36,-0.5826171
87,75,704,0,5,81,0,0,0,513,9,3,13,45,107,0,0,0,3,0,0,0,709,779,91,902,712.04,17.81,110.0083697,0,-312.03,-15.07639281,0,-26.71,-0.045712452
88,204,849,5,8,2,7,5,0,787,16,0,34,42,137,1,0,0,4,5,0,0,7,1053,71,57763,1021.23,5.34,102.0674549,0,-302.77,-17.80379867,0,-142.48,-0.745897436
89,187,504,0,7,3,0,0,0,509,3,2,18,62,72,15,0,0,0,0,0,0,1098,691,80,761,640.45,7.84,87.30060781,0,-162.78,-13.60937771,0,-35.62,-0.05154848
90,115,184,0,0,2,0,1,0,232,2,0,9,30,22,0,0,0,1,0,0,0,290,299,90,11561,1068.96,3.92,107.8916054,0,-198.4,-20.74645485,0,0,0
91,175,634,0,6,3,2,0,0,518,20,0,31,62,146,4,0,1,11,5,0,0,188,809,77,1047,853.81,8.9,110.1585414,0,-320.58,-16.88482077,0,-35.62,-0.044029666
92,107,302,0,3,0,0,1,0,331,7,0,8,42,16,0,0,0,1,0,0,0,617,409,30,3656,711.69,7.12,85.92718826,0,-213.01,-14.20161369,0,-19.59,-0.047897311
93,583,1888,0,17,17,0,44,0,2007,54,0,80,172,55,7,0,3,12,2,1,0,13,2471,194,305729,1424.8,7.12,82.57244435,0,-284.96,-20.64206394,0,-89.05,-0.113876973
94,585,2006,1,7,34,1,0,0,1811,47,2,104,121,449,0,0,0,10,2,0,2,515,2591,275,2786,2492.69,12.11,88.81219992,0,-293.86,-13.46771131,0,-35.62,-0.020621382
95,246,781,0,13,78,3,3,0,654,2,2,99,31,119,11,0,0,4,7,0,1,324,1027,93,7678,605.18,8.9,94.4418111,0,-153.17,-14.48582278,0,-35.62,-0.091908471
96,68,390,2,10,1,1,0,0,254,13,0,21,30,121,0,0,0,4,1,0,0,1092,458,96,644,1563.01,8.9,172.4532314,0,-284.96,-14.77283843,0,-35.62,-0.077772926
97,41,248,1,1,0,4,0,0,180,1,0,3,6,89,0,0,0,0,4,0,0,44,289,65,335,3561.64,8.9,151.9449481,0,-391.46,-12.61851211,0,0,0
98,197,594,0,12,109,0,0,0,481,4,0,96,2,49,12,0,0,26,0,0,0,1212,791,61,831,569.56,1.07,69.79389381,0,-569.56,-10.73050569,0,-35.62,-0.180126422
99,71,445,0,2,2,2,0,0,362,6,3,21,28,55,17,0,0,17,1,0,0,1410,516,55,51536,3202.24,10.69,154.9628876,0,-1068.6,-18.74736434,0,-28.5,-0.055232558
100,608,1461,0,24,6,1,40,0,1362,36,0,81,125,306,14,0,2,5,66,1,0,1317,2069,187,316597,7123.64,3.56,120.551218,0,-575.62,-24.44145964,0,-89.05,-0.424200097
101,149,242,0,8,6,0,3,0,329,3,0,16,14,12,0,0,0,0,0,0,0,295,391,69,31631,1350,3.56,88.01928389,0,-317.37,-30.95910486,0,-106.86,-3.166624041
102,112,930,0,8,0,1,22,0,773,13,1,11,78,124,7,0,0,0,4,0,0,993,1042,187,281473,1781.36,12.11,159.4718138,0,-336.25,-16.136881,0,-26.71,-0.044433781
103,469,859,0,13,0,3,0,1,999,40,0,94,100,66,3,0,0,1,0,8,0,861,1328,60,1813,525.75,11.75,112.5472289,0,-373.3,-17.72027861,0,-89.05,-0.093878012
104,193,458,0,2,5,1,3,2,485,6,0,20,58,61,0,0,0,6,2,0,0,1498,651,40,23090,1227.47,8.9,95.20227343,0,-498.32,-15.75419355,0,-71.24,-0.248955453
105,308,639,0,9,2,0,26,0,738,26,16,18,35,71,4,0,0,1,1,0,0,917,947,152,329735,1157.65,7.12,121.7225132,0,-355.84,-17.23219641,0,-35.62,-0.075227033
106,167,600,0,24,36,0,4,0,559,3,3,65,8,58,5,0,0,1,1,0,0,712,767,115,35305,1102.44,3.21,124.9658149,0,-312.03,-23.0698957,0,-89.05,-1.537196871
107,610,779,4,0,0,0,0,0,1237,6,1,48,54,37,0,0,0,2,0,0,0,467,1389,95,1856,693.52,3.56,69.71073434,0,-163.85,-20.01670986,0,-89.05,-0.230799136
108,180,697,0,21,1,1,2,0,629,5,0,13,16,152,29,0,0,3,5,0,0,1369,877,68,14343,712.4,10.69,100.6437286,0,-256.46,-10.94415051,0,-113.27,-1.034857469
109,30,127,0,7,0,1,11,0,76,0,0,2,1,56,1,0,0,0,2,0,0,77,157,46,115549,1244.92,17.81,196.1520382,0,-268.57,-12.45095541,0,-35.62,-0.226878981
110,124,228,0,2,1,2,0,0,222,30,0,45,13,34,0,0,0,0,3,0,0,218,352,74,455,756.57,6.06,80.83775568,0,-281.4,-11.65323864,0,0,0
111,343,627,1,21,11,2,64,0,691,12,6,36,30,72,10,0,5,2,7,0,0,668,970,176,460929,1784.56,10.33,115.6228557,0,-453.8,-17.38504124,0,-19.59,-0.020195876
112,195,871,0,6,9,8,18,3,769,12,11,35,26,161,3,1,0,2,1,0,1,569,1066,136,264661,1780.29,11.75,170.6152627,0,-1175.1,-17.79724203,0,-17.81,-0.016707317
113,90,547,1,1,9,3,7,2,337,28,3,26,20,176,14,0,0,0,8,1,1,1388,637,66,80142,2848.18,12.11,202.7507692,0,-534.3,-15.71009419,0,0,0
114,503,594,0,11,6,2,0,1,908,6,0,23,54,50,10,0,2,2,22,0,0,1089,1097,101,1334,961.38,4.27,76.08511395,0,-498.32,-19.06353692,0,-89.05,-0.162351869
115,132,555,0,15,0,1,22,0,523,2,2,32,26,54,8,0,0,2,0,0,0,1250,687,76,309471,1559.09,12.11,132.4186317,0,-205.88,-22.05294032,0,-71.24,-2.149068413
116,167,289,0,3,2,2,0,0,292,2,2,5,32,113,1,0,0,2,0,0,0,375,456,90,681,3739.74,10.69,146.0523246,0,-284.96,-16.17236842,0,0,0
117,315,1035,0,28,5,1,0,0,1042,10,3,20,65,148,20,0,0,6,1,1,0,1246,1350,96,1669,1281.96,12.11,121.0784074,0,-372.23,-16.41527407,0,-89.05,-0.647748148
118,158,719,0,10,27,1,19,0,576,5,2,66,48,111,8,0,0,3,1,0,0,1471,877,53,417409,2529.38,8.9,157.6346864,0,-267.15,-16.53339795,0,-213.72,-3.775176739
119,284,603,0,32,81,2,0,1,524,2,29,104,2,87,22,0,0,0,0,1,0,185,887,108,487553,2671.5,11.75,140.355186,0,-274.27,-13.35729425,0,0,0
120,216,1501,0,54,6,3,58,0,1236,10,2,69,54,193,22,0,0,8,0,0,2,1534,1717,200,460680,988.46,3.56,109.12212,0,-446.67,-27.37228305,0,-102.59,-0.69553873
121,48,1401,1,28,66,6,0,0,998,30,0,147,19,126,13,0,1,2,12,0,0,1167,1449,130,1707,925.41,3.56,103.7522084,0,-284.96,-9.378371291,0,-35.62,-0.072518979
122,94,291,0,10,1,0,1,0,238,13,3,21,31,57,4,0,1,5,0,0,0,48,385,64,12143,1758.92,7.12,234.247013,0,-372.23,-27.69916883,0,-213.72,-3.215038961
123,426,1275,0,7,24,3,0,1,1323,13,0,40,58,162,17,0,0,25,28,0,0,1192,1701,199,2222,712.04,11.75,92.4360435,0,-331.62,-15.90763668,0,-71.24,-0.202069371
124,233,636,0,27,4,0,2,0,644,5,1,67,25,78,8,0,0,8,0,0,0,1133,869,58,27318,1281.25,11.75,114.3228654,0,-223.34,-12.60136939,0,0,0
125,222,334,0,17,18,0,4,0,308,50,4,41,71,41,2,0,0,0,0,0,0,880,556,129,54547,1781,17.81,101.1335791,0,-206.6,-11.82818345,0,-8.9,-0.016007194
126,315,706,1,10,5,0,0,0,695,19,0,12,55,212,6,0,0,5,1,0,0,1083,1021,98,1455,1259.88,11.4,91.59388834,0,-390.04,-20.06302644,0,-236.87,-1.270940255
127,596,632,0,8,16,0,3,0,914,32,0,54,68,127,5,0,0,1,0,0,0,1457,1228,92,36835,1356.41,8.9,108.8230212,0,-498.32,-24.75305375,0,-39.18,-0.971669381
128,144,266,0,34,9,3,25,0,256,2,0,21,9,40,4,0,0,0,7,0,0,1376,410,85,267226,1531.66,8.9,170.8306585,0,-320.58,-26.01912195,0,-103.3,-0.599463415
129,309,643,0,9,2,1,1,0,777,18,0,59,34,46,3,0,0,2,0,0,0,973,952,71,10651,713.11,11.75,81.53560924,0,-320.22,-14.77689076,0,-35.62,-0.157142857
130,160,859,0,8,7,1,0,0,631,10,4,44,70,213,21,3,0,3,2,2,0,33,1019,73,82125,2835,17.81,148.1782826,0,-569.92,-28.33842983,0,-89.05,-0.209735034
131,121,325,0,15,36,2,1,0,286,5,0,19,26,49,5,0,2,0,0,0,0,1446,446,92,12630,2338.81,13.89,117.1255605,0,-390.04,-18.79836323,0,-89.05,-0.36338565
132,93,330,0,1,0,1,1,0,279,10,0,13,21,92,1,0,0,1,3,0,0,398,423,86,4307,712.04,12.11,130.49974,0,-178.1,-15.35933806,0,-89.05,-0.564184397
133,293,674,2,5,6,2,1,0,755,12,0,31,53,89,7,0,0,4,0,0,0,987,967,58,16035,1019.44,10.69,95.58871768,0,-284.96,-13.98447777,0,-106.86,-0.110506722
134,184,914,0,11,28,0,0,6,764,40,1,65,71,80,16,0,1,12,3,0,0,167,1098,211,1280,1424.44,8.9,93.20273224,0,-390.04,-12.99820583,0,-89.05,-0.26212204
135,129,152,1,0,4,0,1,0,211,3,2,8,13,12,0,6,0,18,1,1,0,1096,281,42,6955,595.21,10.69,100.2223132,0,-356.2,-22.03362989,0,0,0
136,438,1951,3,46,79,1,0,0,1643,34,1,108,105,281,45,0,0,14,29,0,0,412,2389,214,2856,1068.24,3.56,106.1180913,0,-463.06,-16.34795312,0,-178.1,-0.342180829
137,608,973,3,39,0,2,52,0,1150,10,2,50,92,155,10,0,0,9,5,0,2,1382,1581,146,750265,2189.56,6.06,128.8413156,0,-355.84,-24.03610373,0,-89.05,-0.426938646
138,102,251,0,1,1,0,5,0,278,5,0,7,18,28,6,0,0,0,2,2,0,1251,353,53,50629,1246.7,3.56,80.87331445,0,-185.22,-17.83399433,0,-35.62,-0.25223796
139,359,699,0,19,0,0,0,0,847,17,2,6,98,57,7,0,4,0,1,0,0,834,1058,149,1263,783.28,8.9,89.7478828,0,-615.87,-16.85854442,0,-89.05,-0.287854442
140,619,1779,13,55,21,1,40,9,1672,55,37,130,170,158,13,0,0,14,8,2,0,456,2398,239,1137624,3764.32,10.69,166.935613,0,-573.48,-16.58940367,0,-89.05,-0.078723937
